Combination,Wins,Losses,Total Games,Win Rate
"('Amumu', 'Camille', 'Ezreal', 'Katarina', 'Nautilus')",1,0,1,1.0
"('Akshan', 'Karma', 'Ornn', 'Sivir', 'Viego')",1,0,1,1.0
"('Camille', 'Elise', 'Galio', ""Kai'Sa"", 'Nautilus')",1,0,1,1.0
"('Camille', 'Hwei', 'Lucian', 'Rengar', 'Tryndamere')",1,0,1,1.0
"('Gragas', 'Irelia', 'Jhin', 'Shaco', 'Viego')",1,0,1,1.0
"('Caitlyn', 'LeBlanc', 'Renekton', 'Tahm Kench', 'Viego')",1,0,1,1.0
"('Camille', 'Galio', 'Jinx', 'Nautilus', 'Vi')",1,0,1,1.0
"('Camille', 'Jhin', 'LeBlanc', 'Pyke', 'Rammus')",1,0,1,1.0
"('Aurelion Sol', 'Camille', 'Kindred', 'Neeko', 'Rakan')",1,0,1,1.0
"('Camille', 'Hwei', 'Kalista', 'Shaco', 'Thresh')",1,0,1,1.0
"('Corki', 'Gragas', ""Kai'Sa"", 'Karthus', 'Thresh')",1,0,1,1.0
"('Jhin', 'Renekton', 'Thresh', 'Vex', 'Warwick')",1,0,1,1.0
"('Elise', 'Jhin', 'Ornn', 'Qiyana', 'Senna')",1,0,1,1.0
"('Akali', 'Camille', 'Corki', 'Rakan', 'Viego')",1,0,1,1.0
"('Camille', 'Galio', 'Lee Sin', 'Nautilus', 'Samira')",1,0,1,1.0
"('Corki', 'Hwei', 'Nautilus', 'Ornn', 'Talon')",1,0,1,1.0
"('Blitzcrank', ""Kai'Sa"", 'Nidalee', 'Skarner', 'Talon')",1,0,1,1.0
"('Irelia', 'Jinx', 'Rumble', 'Thresh', 'Viego')",1,0,1,1.0
"('Jinx', 'Lee Sin', 'Rumble', 'Skarner', 'Sylas')",1,0,1,1.0
"('Darius', 'Hwei', 'Kindred', 'Skarner', 'Twitch')",1,0,1,1.0
"(""Kai'Sa"", 'Lee Sin', 'Skarner', 'Zac', 'Zoe')",1,0,1,1.0
"('Jhin', 'Skarner', 'Taliyah', 'Volibear', 'Xin Zhao')",1,0,1,1.0
"('Hecarim', 'Hwei', 'Nautilus', 'Twisted Fate', 'Zeri')",1,0,1,1.0
"('Blitzcrank', 'Illaoi', ""Kai'Sa"", 'Taliyah', 'Viego')",1,0,1,1.0
"('Braum', 'Cassiopeia', 'Jinx', 'Pantheon', 'Viego')",1,0,1,1.0
"('Fizz', 'Gangplank', ""Kai'Sa"", 'Nautilus', ""Rek'Sai"")",1,0,1,1.0
"('Diana', 'Irelia', 'Ornn', 'Seraphine', 'Twitch')",1,0,1,1.0
"('Ahri', 'Fiora', ""Rek'Sai"", 'Soraka', 'Varus')",1,0,1,1.0
"('Akali', 'Camille', 'Corki', 'Hwei', 'Viego')",1,0,1,1.0
"('Darius', 'Lucian', 'Nami', 'Taliyah', 'Tristana')",1,0,1,1.0
"('Camille', 'Jhin', 'Karthus', 'Maokai', 'Tristana')",1,0,1,1.0
"('Aatrox', 'Caitlyn', 'Lillia', 'Pyke', 'Zed')",1,0,1,1.0
"('Alistar', 'Ashe', 'Katarina', ""Rek'Sai"", 'Twisted Fate')",1,0,1,1.0
"('Darius', 'Jhin', 'Nidalee', 'Rakan', 'Yasuo')",1,0,1,1.0
"('Ashe', 'Corki', 'Gangplank', 'Nidalee', 'Seraphine')",1,0,1,1.0
"('Leona', 'Lillia', 'Tristana', 'Varus', 'Warwick')",1,0,1,1.0
"('Ashe', 'Brand', 'Braum', 'Jayce', 'Olaf')",1,0,1,1.0
"('Gragas', 'Jayce', ""Kai'Sa"", 'Lillia', 'Rakan')",1,0,1,1.0
"('Blitzcrank', 'Nidalee', 'Sivir', 'Skarner', 'Tristana')",1,0,1,1.0
"('Corki', 'Galio', 'Gragas', 'Shaco', 'Viego')",1,0,1,1.0
"('Ashe', 'Brand', 'Nidalee', 'Renekton', 'Senna')",1,0,1,1.0
"('Akshan', 'Corki', 'Lillia', 'Nautilus', 'Rumble')",1,0,1,1.0
"('Hecarim', 'Lucian', 'Nami', 'Rumble', 'Tristana')",1,0,1,1.0
"('Gnar', 'Kalista', 'Karthus', 'Sona', 'Talon')",1,0,1,1.0
"('Kennen', 'Rell', 'Varus', 'Viego', 'Xerath')",1,0,1,1.0
"('Ashe', 'Gragas', 'Taliyah', 'Thresh', 'Tristana')",1,0,1,1.0
"('Ashe', 'Braum', 'Hwei', 'Karthus', 'Pantheon')",1,0,1,1.0
"('Kalista', 'Taliyah', 'Thresh', 'Twisted Fate', 'Zoe')",1,0,1,1.0
"('Ashe', 'Fiddlesticks', 'Rell', 'Singed', 'Tristana')",1,0,1,1.0
"('Aurelion Sol', 'Kalista', 'Nidalee', 'Ornn', 'Senna')",1,0,1,1.0
"('Aphelios', 'Hecarim', 'Jayce', 'Senna', 'Sylas')",1,0,1,1.0
"('Ashe', 'Kalista', 'Lee Sin', 'Twisted Fate', 'Yasuo')",1,0,1,1.0
"('Graves', 'Olaf', 'Rakan', 'Zeri', 'Zoe')",2,0,2,1.0
"('Camille', 'Jinx', 'Katarina', 'Rell', 'Viego')",1,0,1,1.0
"('Leona', 'Taliyah', 'Twisted Fate', 'Varus', ""Vel'Koz"")",1,0,1,1.0
"('Alistar', 'Gwen', 'Jax', 'Nilah', 'Xerath')",1,0,1,1.0
"('Ahri', 'Camille', 'Fiddlesticks', 'Galio', 'Jinx')",1,0,1,1.0
"('Alistar', 'Jax', 'Jinx', 'Lillia', 'Yasuo')",1,0,1,1.0
"('Corki', 'LeBlanc', ""Rek'Sai"", 'Rell', 'Teemo')",1,0,1,1.0
"('Fiora', 'Jax', ""Kai'Sa"", 'Lux', 'Zyra')",1,0,1,1.0
"(""Bel'Veth"", 'Camille', 'Corki', 'Gwen', ""Vel'Koz"")",1,0,1,1.0
"('Ashe', 'Aurelion Sol', 'Braum', 'Elise', 'Smolder')",1,0,1,1.0
"('Aurelion Sol', 'Caitlyn', 'Leona', 'Urgot', 'Viego')",1,0,1,1.0
"('Aurelion Sol', 'Braum', 'Corki', ""K'Sante"", 'Viego')",1,0,1,1.0
"('Aurelion Sol', 'Jayce', 'Nautilus', ""Rek'Sai"", 'Varus')",1,0,1,1.0
"('Aurelion Sol', 'Fiora', 'Jhin', ""Rek'Sai"", 'Zyra')",1,0,1,1.0
"('Aurelion Sol', 'Braum', 'Jinx', 'Trundle', 'Viego')",1,0,1,1.0
"('Diana', 'Irelia', 'Jax', 'Pyke', 'Samira')",1,0,1,1.0
"('Aurelion Sol', 'Camille', ""Kai'Sa"", 'Kindred', 'Thresh')",1,0,1,1.0
"('Aurelion Sol', 'Ezreal', 'Irelia', 'Lee Sin', 'Rakan')",1,0,1,1.0
"('Ashe', 'Aurelion Sol', 'Camille', ""Kha'Zix"", 'Rakan')",1,0,1,1.0
"('Akshan', 'Corki', 'Karthus', 'Pyke', 'Tryndamere')",1,0,1,1.0
"('Fiddlesticks', ""Kai'Sa"", 'Nautilus', 'Sylas', 'Volibear')",1,0,1,1.0
"('Braum', 'Corki', ""K'Sante"", 'Lee Sin', 'Veigar')",1,0,1,1.0
"('Anivia', 'Gnar', ""Kai'Sa"", 'Lee Sin', 'Nautilus')",1,0,1,1.0
"('Camille', 'Fiddlesticks', 'Nilah', 'Senna', 'Xerath')",1,0,1,1.0
"('Ashe', ""K'Sante"", 'Lissandra', 'Varus', 'Viego')",1,0,1,1.0
"('Nidalee', 'Pyke', 'Senna', 'Skarner', 'Twisted Fate')",1,0,1,1.0
"('Shen', 'Varus', 'Viego', 'Zed', 'Zyra')",1,0,1,1.0
"('Hwei', ""Kai'Sa"", 'Lee Sin', 'Olaf', 'Twisted Fate')",1,0,1,1.0
"('Gwen', 'Kalista', 'Orianna', 'Rell', 'Xin Zhao')",1,0,1,1.0
"('Graves', 'Rumble', 'Skarner', 'Taliyah', 'Zeri')",1,0,1,1.0
"('Alistar', 'Brand', 'Galio', 'Tristana', 'Twisted Fate')",1,0,1,1.0
"('Ashe', 'Irelia', 'Lee Sin', 'Syndra', 'Thresh')",1,0,1,1.0
"('Akali', 'Graves', 'Poppy', 'Singed', 'Varus')",1,0,1,1.0
"('Ashe', 'Gragas', 'Hwei', 'Jarvan IV', 'Rakan')",1,0,1,1.0
"('Heimerdinger', 'Hwei', 'Jax', 'Tryndamere', 'Zeri')",1,0,1,1.0
"('Bard', ""Bel'Veth"", 'Jhin', 'Skarner', 'Yasuo')",1,0,1,1.0
"('Blitzcrank', 'Graves', 'Jax', 'Jinx', 'LeBlanc')",1,0,1,1.0
"('Akali', 'Ashe', 'Corki', 'Lillia', 'Shaco')",1,0,1,1.0
"('Hwei', ""Kai'Sa"", 'LeBlanc', 'Lee Sin', 'Rumble')",1,0,1,1.0
"('Jax', 'Jinx', 'Nautilus', 'Taliyah', 'Tristana')",1,0,1,1.0
"('Aatrox', 'Jayce', ""Kai'Sa"", 'Leona', 'Nidalee')",2,0,2,1.0
"('Karma', 'Karthus', 'Nasus', 'Varus', 'Zed')",1,0,1,1.0
"('Brand', 'Darius', 'Pyke', 'Tristana', 'Zeri')",1,0,1,1.0
"('Blitzcrank', 'Draven', 'Nidalee', 'Tristana', 'Volibear')",1,0,1,1.0
"('Galio', 'Graves', 'Jinx', 'Syndra', 'Thresh')",1,0,1,1.0
"('Anivia', 'Blitzcrank', ""Kai'Sa"", 'Lee Sin', 'Zoe')",1,0,1,1.0
"('Corki', 'Mordekaiser', 'Nautilus', 'Nidalee', 'Samira')",1,0,1,1.0
"('Blitzcrank', 'Camille', 'Kalista', 'LeBlanc', 'Lee Sin')",1,0,1,1.0
"('Ashe', 'Camille', 'Elise', 'Seraphine', 'Tristana')",1,0,1,1.0
"('Akshan', 'Blitzcrank', 'Gragas', ""Kai'Sa"", 'Skarner')",1,0,1,1.0
"('Hecarim', 'Lulu', 'Malphite', 'Sylas', 'Varus')",1,0,1,1.0
"('Aatrox', 'Lee Sin', 'Orianna', 'Rakan', 'Varus')",1,0,1,1.0
"('Karthus', 'Rell', 'Renekton', 'Tristana', 'Zeri')",1,0,1,1.0
"('Aurelion Sol', 'Fiora', 'Lee Sin', 'Neeko', 'Zeri')",1,0,1,1.0
"('Lillia', 'Rakan', 'Renekton', 'Sylas', 'Zeri')",1,0,1,1.0
"(""Kai'Sa"", 'Renekton', 'Skarner', 'Taliyah', 'Tristana')",1,0,1,1.0
"('Karthus', 'Rell', 'Samira', 'Twisted Fate', 'Viego')",1,0,1,1.0
"('Hwei', 'Jax', ""Kha'Zix"", 'Rakan', 'Samira')",1,0,1,1.0
"('Ashe', 'Katarina', 'Maokai', 'Tryndamere', 'Zyra')",2,0,2,1.0
"('Aphelios', 'Darius', 'Leona', 'Nunu & Willump', 'Zac')",1,0,1,1.0
"('Aphelios', ""Bel'Veth"", 'Karthus', 'Lulu', 'Rakan')",1,0,1,1.0
"('Aatrox', 'Galio', 'Lee Sin', 'Miss Fortune', 'Poppy')",1,0,1,1.0
"('Corki', 'Ezreal', 'Karma', 'Taliyah', 'Yasuo')",1,0,1,1.0
"('Nidalee', 'Poppy', 'Skarner', 'Tristana', 'Varus')",1,0,1,1.0
"('Ekko', 'Nautilus', 'Nocturne', 'Tristana', 'Varus')",1,0,1,1.0
"('Karma', 'Karthus', 'Quinn', 'Tristana', 'Zeri')",1,0,1,1.0
"('Akali', 'Camille', 'Graves', 'Skarner', 'Varus')",2,0,2,1.0
"('Graves', 'Rumble', 'Sylas', 'Varus', 'Vex')",1,0,1,1.0
"('Aphelios', 'Nidalee', 'Pantheon', 'Poppy', 'Warwick')",1,0,1,1.0
"('Akali', ""K'Sante"", 'Master Yi', 'Senna', 'Varus')",1,0,1,1.0
"('Aurelion Sol', 'Nautilus', 'Olaf', 'Varus', 'Vi')",1,0,1,1.0
"('Akali', ""Kai'Sa"", 'Lee Sin', 'Rell', 'Singed')",1,0,1,1.0
"('Bard', 'Graves', 'Gwen', 'LeBlanc', 'Sivir')",1,0,1,1.0
"('Aatrox', 'Bard', 'Nidalee', 'Tryndamere', 'Zeri')",1,0,1,1.0
"('Malphite', 'Smolder', 'Thresh', 'Tristana', 'Xin Zhao')",1,0,1,1.0
"('Graves', 'Hwei', 'Rumble', 'Shaco', 'Tristana')",1,0,1,1.0
"('Dr. Mundo', 'Fizz', 'Shaco', 'Thresh', 'Xayah')",1,0,1,1.0
"(""Bel'Veth"", 'Cassiopeia', ""Cho'Gath"", 'Senna', 'Tristana')",1,0,1,1.0
"('Ashe', 'Camille', 'Fiddlesticks', 'Thresh', 'Viego')",1,0,1,1.0
"('Fizz', 'Hecarim', 'Skarner', 'Taric', 'Varus')",1,0,1,1.0
"('Ashe', 'Fizz', 'Neeko', 'Taliyah', 'Yasuo')",1,0,1,1.0
"('Aphelios', 'Bard', 'Fizz', 'Jax', 'Nidalee')",1,0,1,1.0
"('Fizz', 'Gangplank', 'Lee Sin', 'Lucian', 'Nami')",1,0,1,1.0
"('Corki', 'Rell', 'Rumble', 'Swain', 'Talon')",1,0,1,1.0
"('Kalista', 'Olaf', 'Ryze', 'Thresh', 'Zac')",1,0,1,1.0
"('Fizz', 'Lee Sin', 'Rakan', 'Twisted Fate', 'Zeri')",1,0,1,1.0
"('Ashe', 'Braum', 'Fizz', 'Graves', 'Sion')",1,0,1,1.0
"('Ashe', 'Fizz', 'Graves', 'Neeko', 'Twisted Fate')",1,0,1,1.0
"('Kennen', 'Lee Sin', 'Thresh', 'Varus', 'Viego')",1,0,1,1.0
"('Ashe', 'Irelia', 'Janna', 'Lee Sin', 'Zoe')",1,0,1,1.0
"('Hwei', 'Kalista', 'Kindred', 'Nautilus', 'Viego')",1,0,1,1.0
"('Camille', 'Graves', 'Nautilus', 'Xayah', 'Zoe')",1,0,1,1.0
"('Fiora', 'Jinx', 'Lulu', 'Sylas', 'Taliyah')",1,0,1,1.0
"('Nidalee', 'Rakan', ""Rek'Sai"", 'Viego', 'Zeri')",1,0,1,1.0
"('Ashe', 'Camille', 'Hecarim', 'Hwei', 'Shaco')",1,0,1,1.0
"('Kalista', 'Karthus', 'Skarner', 'Tristana', 'Vayne')",1,0,1,1.0
"('Alistar', 'Fizz', 'Nocturne', 'Riven', 'Varus')",1,0,1,1.0
"('Blitzcrank', 'Jax', 'Nidalee', 'Tristana', 'Viego')",1,0,1,1.0
"('Camille', 'Fiora', 'Fizz', 'Lee Sin', 'Samira')",1,0,1,1.0
"('Corki', 'LeBlanc', 'Lux', 'Rengar', 'Rumble')",1,0,1,1.0
"('LeBlanc', 'Lux', 'Teemo', 'Varus', 'Viego')",1,0,1,1.0
"('Jhin', ""K'Sante"", 'Lillia', 'Lux', 'Tryndamere')",1,0,1,1.0
"('Lux', 'Nidalee', 'Tristana', 'Tryndamere', 'Ziggs')",1,0,1,1.0
"('Cassiopeia', 'Galio', 'Jhin', 'Lux', 'Viego')",1,0,1,1.0
"('Ekko', ""Kai'Sa"", 'Lux', 'Urgot', 'Viego')",1,0,1,1.0
"('Ashe', 'Kled', 'Lux', 'Nidalee', 'Tryndamere')",1,0,1,1.0
"('Anivia', 'Caitlyn', 'Hecarim', 'Lux', 'Rengar')",1,0,1,1.0
"('Fizz', 'Jax', 'Jinx', 'Tahm Kench', 'Zac')",1,0,1,1.0
"(""Kai'Sa"", 'Kennen', ""Kha'Zix"", 'Naafiri', 'Tristana')",1,0,1,1.0
"('Corki', 'Pantheon', ""Rek'Sai"", 'Thresh', 'Tristana')",1,0,1,1.0
"('Ashe', 'Blitzcrank', 'Fiora', 'Gragas', 'Zoe')",1,0,1,1.0
"('Ahri', 'Blitzcrank', ""Kai'Sa"", 'Twisted Fate', 'Wukong')",1,0,1,1.0
"('Fizz', 'Jinx', 'Olaf', 'Twisted Fate', 'Zilean')",1,0,1,1.0
"('Fizz', 'Gragas', 'Karma', 'Kindred', 'Varus')",1,0,1,1.0
"('Nasus', 'Rakan', 'Taliyah', 'Tristana', 'Zeri')",1,0,1,1.0
"('Ashe', 'Fizz', 'Pantheon', 'Rammus', 'Singed')",1,0,1,1.0
"('Dr. Mundo', 'Fizz', ""Kai'Sa"", 'Taliyah', 'Thresh')",1,0,1,1.0
"('Ahri', 'Jax', ""Kog'Maw"", 'Lulu', 'Vi')",1,0,1,1.0
"('Ashe', 'Corki', 'Milio', 'Nidalee', 'Twisted Fate')",1,0,1,1.0
"('Lux', 'Skarner', 'Taliyah', 'Viego', 'Xayah')",1,0,1,1.0
"('Aatrox', 'Ashe', 'Lee Sin', 'Swain', 'Vex')",1,0,1,1.0
"('Jinx', ""K'Sante"", 'Karthus', 'Maokai', 'Talon')",1,0,1,1.0
"('Darius', 'Jhin', 'Maokai', 'Taliyah', 'Viego')",1,0,1,1.0
"('Ashe', 'Bard', 'Gnar', 'Pantheon', 'Taliyah')",1,0,1,1.0
"('Jayce', 'Lillia', 'Poppy', 'Renekton', 'Zeri')",1,0,1,1.0
"('Ashe', ""K'Sante"", 'Karthus', 'LeBlanc', 'Milio')",1,0,1,1.0
"('Alistar', 'Jax', 'Lillia', 'Samira', 'Yone')",1,0,1,1.0
"('Jayce', ""Kai'Sa"", 'Lillia', 'Soraka', 'Tristana')",1,0,1,1.0
"('Ashe', 'Lillia', 'Malphite', 'Rell', 'Yasuo')",1,0,1,1.0
"('Lee Sin', 'Leona', 'Riven', 'Taliyah', 'Zeri')",1,0,1,1.0
"('Akshan', 'Karthus', 'Pyke', 'Varus', 'Zoe')",1,0,1,1.0
"('Aphelios', 'Jax', 'Karthus', 'Thresh', 'Twisted Fate')",1,0,1,1.0
"('Jayce', 'Kindred', 'Poppy', 'Senna', 'Taliyah')",1,0,1,1.0
"(""Kai'Sa"", 'Kindred', 'Lissandra', 'Nautilus', 'Skarner')",1,0,1,1.0
"('Ashe', ""Bel'Veth"", 'Jayce', 'Neeko', 'Thresh')",1,0,1,1.0
"('Ahri', ""Bel'Veth"", ""Kai'Sa"", 'Morgana', 'Rammus')",1,0,1,1.0
"(""Bel'Veth"", 'Jinx', 'Rakan', 'Rammus', 'Zoe')",1,0,1,1.0
"('Annie', 'Ashe', ""Bel'Veth"", 'Fiora', 'Galio')",1,0,1,1.0
"(""Bel'Veth"", 'Orianna', 'Smolder', 'Thresh', 'Udyr')",1,0,1,1.0
"('Ashe', ""Bel'Veth"", 'Blitzcrank', 'LeBlanc', 'Skarner')",1,0,1,1.0
"('Aurelion Sol', 'Heimerdinger', 'Jhin', 'Warwick', 'Xin Zhao')",1,0,1,1.0
"('Hwei', ""Kai'Sa"", 'Nami', 'Talon', 'Twisted Fate')",1,0,1,1.0
"('Kalista', 'Poppy', 'Talon', 'Zac', 'Zoe')",1,0,1,1.0
"('Ashe', ""K'Sante"", 'Lee Sin', 'Rell', 'Twisted Fate')",1,0,1,1.0
"('Lulu', 'Nunu & Willump', 'Rumble', 'Tristana', 'Vi')",1,0,1,1.0
"('Blitzcrank', 'Graves', ""Kai'Sa"", 'Rumble', 'Tristana')",1,0,1,1.0
"('Amumu', 'Bard', 'Camille', 'Ezreal', 'Hwei')",1,0,1,1.0
"('Corki', 'Jax', 'Nidalee', 'Thresh', ""Vel'Koz"")",1,0,1,1.0
"('Aurelion Sol', 'Lucian', 'Nami', 'Skarner', 'Xin Zhao')",1,0,1,1.0
"('Karthus', 'Kennen', 'Lucian', 'Nami', 'Tristana')",1,0,1,1.0
"('Jinx', 'Rell', 'Rumble', 'Xin Zhao', 'Yone')",1,0,1,1.0
"('Akali', 'Aurelion Sol', 'Draven', 'Jax', 'Taric')",1,0,1,1.0
"('Camille', 'Kalista', 'Nidalee', 'Sylas', 'Zed')",1,0,1,1.0
"('Brand', 'Braum', 'Darius', 'Jhin', 'Sylas')",1,0,1,1.0
"('Braum', 'Jinx', 'Kennen', 'Lee Sin', 'Lissandra')",1,0,1,1.0
"('Alistar', 'Camille', 'Nidalee', 'Xerath', 'Zeri')",1,0,1,1.0
"('Alistar', 'Kennen', 'Tristana', 'Tryndamere', 'Viego')",1,0,1,1.0
"('Leona', 'Rumble', 'Sion', 'Twisted Fate', 'Varus')",1,0,1,1.0
"('Akshan', 'Kalista', 'Maokai', 'Renata Glasc', 'Taliyah')",1,0,1,1.0
"('Draven', 'Lillia', 'Soraka', 'Viego', 'Zoe')",1,0,1,1.0
"('Lillia', 'Renekton', 'Thresh', 'Tristana', 'Varus')",1,0,1,1.0
"('Gragas', 'Karthus', 'Pyke', 'Skarner', 'Twitch')",1,0,1,1.0
"('Lux', 'Nidalee', 'Skarner', 'Tristana', 'Varus')",1,0,1,1.0
"('Lux', ""Rek'Sai"", 'Riven', 'Twisted Fate', 'Zeri')",1,0,1,1.0
"('Akali', 'Ashe', 'Bard', 'Graves', 'Taliyah')",1,0,1,1.0
"('Ashe', 'Elise', 'Fiora', 'Poppy', 'Twisted Fate')",1,0,1,1.0
"('Corki', 'Jayce', 'Leona', 'Sylas', 'Yone')",1,0,1,1.0
"(""Bel'Veth"", 'LeBlanc', 'Lucian', 'Nami', 'Skarner')",1,0,1,1.0
"('Ashe', ""Bel'Veth"", 'Ezreal', 'Heimerdinger', 'Zoe')",1,0,1,1.0
"('Ahri', ""Bel'Veth"", 'Dr. Mundo', 'Lulu', 'Zeri')",1,0,1,1.0
"('Alistar', 'Ashe', ""Bel'Veth"", 'Hwei', 'Udyr')",1,0,1,1.0
"(""Kai'Sa"", ""Kha'Zix"", 'Leona', 'Sion', 'Swain')",1,0,1,1.0
"('Akali', 'Kalista', 'Leona', 'Malphite', 'Viego')",1,0,1,1.0
"(""Bel'Veth"", 'Gnar', 'LeBlanc', 'Lucian', 'Pyke')",1,0,1,1.0
"('Ashe', 'Brand', 'Jax', 'Tristana', 'Zac')",1,0,1,1.0
"('Fiddlesticks', 'Nocturne', 'Rakan', 'Twisted Fate', 'Varus')",1,0,1,1.0
"('Ashe', ""Kha'Zix"", 'Milio', 'Riven', 'Zac')",1,0,1,1.0
"(""Kha'Zix"", 'LeBlanc', 'Varus', 'Vayne', 'Zilean')",1,0,1,1.0
"('Gragas', 'Graves', 'Janna', 'Jhin', 'Riven')",1,0,1,1.0
"('Anivia', 'Aphelios', 'Corki', 'Nidalee', 'Thresh')",1,0,1,1.0
"('Blitzcrank', 'Elise', 'Hwei', 'Jinx', 'Riven')",1,0,1,1.0
"('Jinx', 'Malphite', 'Nidalee', 'Rell', 'Tristana')",1,0,1,1.0
"('Akali', 'Bard', 'Caitlyn', 'Viego', 'Volibear')",1,0,1,1.0
"('Hecarim', ""Kai'Sa"", 'Nautilus', 'Orianna', 'Skarner')",1,0,1,1.0
"(""Kai'Sa"", 'Karthus', 'Nautilus', 'Riven', 'Sylas')",1,0,1,1.0
"('Fiora', 'Hwei', ""Kai'Sa"", ""Kha'Zix"", 'Leona')",1,0,1,1.0
"('Caitlyn', 'Nautilus', 'Taliyah', 'Vayne', 'Zed')",1,0,1,1.0
"(""Bel'Veth"", 'Gragas', ""Kai'Sa"", 'Katarina', 'Rumble')",1,0,1,1.0
"('Akshan', 'Lillia', 'Twisted Fate', 'Zac', 'Zeri')",1,0,1,1.0
"('Cassiopeia', 'Diana', ""Kai'Sa"", 'Shaco', 'Skarner')",1,0,1,1.0
"('Malphite', 'Rakan', 'Ryze', 'Viego', 'Zeri')",1,0,1,1.0
"('Lee Sin', 'Lulu', 'Skarner', 'Xerath', 'Zeri')",1,0,1,1.0
"('Cassiopeia', 'Hwei', ""Kai'Sa"", 'Nautilus', 'Talon')",1,0,1,1.0
"('LeBlanc', 'Lee Sin', 'Maokai', 'Vladimir', 'Zeri')",1,0,1,1.0
"('Lissandra', 'Lucian', 'Lulu', 'Rell', 'Viego')",1,0,1,1.0
"('Ashe', 'Seraphine', 'Skarner', 'Taliyah', 'Viego')",1,0,1,1.0
"('Irelia', ""K'Sante"", ""Kai'Sa"", 'Leona', 'Viego')",1,0,1,1.0
"('Lucian', 'Rell', 'Rumble', 'Taliyah', 'Viego')",1,0,1,1.0
"(""Bel'Veth"", 'Brand', ""Kai'Sa"", 'Rumble', 'Seraphine')",1,0,1,1.0
"('Anivia', 'Ashe', 'Pyke', 'Smolder', 'Viego')",1,0,1,1.0
"('Hwei', ""K'Sante"", 'Pyke', 'Samira', 'Viego')",1,0,1,1.0
"('Fiora', ""Kai'Sa"", 'Kindred', 'Rell', 'Viktor')",1,0,1,1.0
"('Hecarim', 'LeBlanc', 'Renata Glasc', 'Varus', 'Volibear')",1,0,1,1.0
"('Nidalee', 'Qiyana', 'Seraphine', 'Skarner', 'Smolder')",1,0,1,1.0
"('Fiora', ""Kha'Zix"", 'Malphite', 'Yuumi', 'Zeri')",1,0,1,1.0
"('Ashe', 'LeBlanc', 'Rumble', 'Taric', 'Viego')",1,0,1,1.0
"('Aatrox', 'Kalista', 'LeBlanc', ""Rek'Sai"", 'Rell')",1,0,1,1.0
"('Ashe', 'Graves', 'Janna', 'Jax', 'Twisted Fate')",1,0,1,1.0
"('Ashe', ""Kha'Zix"", 'Poppy', 'Skarner', 'Taliyah')",1,0,1,1.0
"('Ashe', 'Elise', 'Lux', 'Tryndamere', 'Zed')",1,0,1,1.0
"('Bard', 'Gwen', 'Hecarim', 'Hwei', 'Varus')",1,0,1,1.0
"('Jinx', 'Nidalee', 'Ornn', 'Thresh', 'Viego')",1,0,1,1.0
"('Ahri', 'Ashe', 'Jayce', 'Lee Sin', 'Skarner')",2,0,2,1.0
"('Blitzcrank', 'Corki', 'Gnar', 'Hwei', 'Lee Sin')",1,0,1,1.0
"('Ashe', 'Camille', 'Lee Sin', 'Maokai', 'Vex')",1,0,1,1.0
"('LeBlanc', 'Lee Sin', 'Lucian', 'Nami', 'Twisted Fate')",1,0,1,1.0
"('Aurelion Sol', 'Blitzcrank', 'Corki', 'Hecarim', 'Lee Sin')",1,0,1,1.0
"('Azir', 'Elise', 'Jinx', 'Nasus', 'Viego')",1,0,1,1.0
"('Garen', ""Kai'Sa"", 'LeBlanc', 'Lee Sin', 'Nautilus')",1,0,1,1.0
"(""Kai'Sa"", 'Nautilus', 'Rumble', 'Tristana', 'Viego')",1,0,1,1.0
"('Ahri', 'Lee Sin', 'Lucian', 'Lulu', 'Poppy')",1,0,1,1.0
"('Ashe', 'Fiora', 'Lulu', 'Nidalee', 'Yone')",1,0,1,1.0
"('Ashe', 'Katarina', 'Lillia', 'Rakan', 'Tryndamere')",1,0,1,1.0
"('Camille', 'Katarina', 'Morgana', 'Rakan', 'Xayah')",1,0,1,1.0
"('Hwei', 'Irelia', 'Jhin', 'Lee Sin', 'Lux')",1,0,1,1.0
"('Corki', 'Kindred', 'Lux', 'Nasus', 'Yasuo')",1,0,1,1.0
"('Caitlyn', 'Camille', 'Hwei', 'Kindred', 'Lux')",1,0,1,1.0
"(""Kai'Sa"", 'Lux', 'Qiyana', 'Rumble', 'Xin Zhao')",1,0,1,1.0
"('Corki', 'Ezreal', 'Fiddlesticks', 'Lux', 'Ornn')",1,0,1,1.0
"('Darius', 'LeBlanc', 'Lee Sin', 'Lux', 'Varus')",1,0,1,1.0
"('Akshan', 'Ashe', 'Malphite', 'Nidalee', 'Seraphine')",1,0,1,1.0
"('Hwei', 'Rakan', 'Skarner', 'Viego', 'Xayah')",1,0,1,1.0
"('Galio', 'Lee Sin', 'Nilah', 'Orianna', 'Skarner')",1,0,1,1.0
"('Alistar', 'Corki', 'Gwen', 'Kindred', 'Orianna')",1,0,1,1.0
"('Aurelion Sol', 'Kalista', 'Kindred', 'Nautilus', 'Skarner')",1,0,1,1.0
"('Gnar', 'Katarina', ""Rek'Sai"", 'Skarner', 'Varus')",1,0,1,1.0
"('Brand', ""Kog'Maw"", 'Olaf', 'Skarner', 'Tristana')",1,0,1,1.0
"('Jax', 'Katarina', 'Skarner', 'Varus', 'Xin Zhao')",1,0,1,1.0
